,readable,energies
0,[0 0],0.9119731187820435
1,[0 0],0.9119731187820435
2,[0 0],0.9119731187820435
3,[0 0],0.9119731187820435
4,[0 0],0.9119731187820435
5,[0 0],0.9119731187820435
6,[0 0],0.9119731187820435
7,[0 0],0.9119731187820435
8,[0 0],0.9119731187820435
9,[0 0],0.9119731187820435
10,[0 0],0.9119731187820435
11,[0 0],0.9119731187820435
12,[0 0],0.9119731187820435
13,[0 0],0.9119731187820435
14,[0 0],0.9119731187820435
15,[0 0],0.9119731187820435
16,[0 0],0.9119731187820435
17,[0 0],0.9119731187820435
18,[0 0],0.9119731187820435
19,[0 0],0.9119731187820435
20,[0 0],0.9119731187820435
21,[0 0],0.9119731187820435
22,[0 0],0.9119731187820435
23,[0 0],0.9119731187820435
24,[0 0],0.9119731187820435
25,[0 0],0.9119731187820435
26,[0 0],0.9119731187820435
27,[0 0],0.9119731187820435
28,[0 0],0.9119731187820435
29,[0 0],0.9119731187820435
30,[0 0],0.9119731187820435
31,[0 0],0.9119731187820435
32,[0 0],0.9119731187820435
33,[0 0],0.9119731187820435
34,[0 0],0.9119731187820435
35,[0 0],0.9119731187820435
36,[0 0],0.9119731187820435
37,[0 0],0.9119731187820435
38,[0 0],0.9119731187820435
39,[0 0],0.9119731187820435
40,[0 0],0.9119731187820435
41,[0 0],0.9119731187820435
42,[0 0],0.9119731187820435
43,[0 0],0.9119731187820435
44,[0 0],0.9119731187820435
45,[0 0],0.9119731187820435
46,[0 0],0.9119731187820435
47,[0 0],0.9119731187820435
48,[0 0],0.9119731187820435
49,[0 0],0.9119731187820435
50,[0 0],0.9119731187820435
51,[0 0],0.9119731187820435
52,[0 0],0.9119731187820435
53,[0 0],0.9119731187820435
54,[0 0],0.9119731187820435
55,[0 0],0.9119731187820435
56,[0 0],0.9119731187820435
57,[0 0],0.9119731187820435
58,[0 0],0.9119731187820435
59,[0 0],0.9119731187820435
60,[0 0],0.9119731187820435
61,[0 0],0.9119731187820435
62,[0 0],0.9119731187820435
63,[0 0],0.9119731187820435
64,[0 0],0.9119731187820435
65,[0 0],0.9119731187820435
66,[0 0],0.9119731187820435
67,[0 0],0.9119731187820435
68,[0 0],0.9119731187820435
69,[0 0],0.9119731187820435
70,[0 0],0.9119731187820435
71,[0 0],0.9119731187820435
72,[0 0],0.9119731187820435
73,[0 0],0.9119731187820435
74,[0 0],0.9119731187820435
75,[0 0],0.9119731187820435
76,[0 0],0.9119731187820435
77,[0 0],0.9119731187820435
78,[0 0],0.9119731187820435
79,[0 0],0.9119731187820435
80,[0 0],0.9119731187820435
81,[0 0],0.9119731187820435
82,[0 0],0.9119731187820435
83,[0 0],0.9119731187820435
84,[0 0],0.9119731187820435
85,[0 0],0.9119731187820435
86,[0 0],0.9119731187820435
87,[0 0],0.9119731187820435
88,[0 0],0.9119731187820435
89,[0 0],0.9119731187820435
90,[0 0],0.9119731187820435
91,[0 0],0.9119731187820435
92,[0 0],0.9119731187820435
93,[0 0],0.9119731187820435
94,[0 0],0.9119731187820435
95,[0 0],0.9119731187820435
96,[0 0],0.9119731187820435
97,[0 0],0.9119731187820435
98,[0 0],0.9119731187820435
99,[0 0],0.9119731187820435
100,[0 0],0.9119731187820435
101,[0 0],0.9119731187820435
102,[0 0],0.9119731187820435
103,[0 0],0.9119731187820435
104,[0 0],0.9119731187820435
105,[0 0],0.9119731187820435
106,[0 0],0.9119731187820435
107,[0 0],0.9119731187820435
108,[0 0],0.9119731187820435
109,[0 0],0.9119731187820435
110,[0 0],0.9119731187820435
111,[0 0],0.9119731187820435
112,[0 0],0.9119731187820435
113,[0 0],0.9119731187820435
114,[0 0],0.9119731187820435
115,[0 0],0.9119731187820435
116,[0 0],0.9119731187820435
117,[0 0],0.9119731187820435
118,[0 0],0.9119731187820435
119,[0 0],0.9119731187820435
120,[0 0],0.9119731187820435
121,[0 0],0.9119731187820435
122,[0 0],0.9119731187820435
123,[0 0],0.9119731187820435
124,[0 0],0.9119731187820435
125,[0 0],0.9119731187820435
126,[0 0],0.9119731187820435
127,[0 0],0.9119731187820435
128,[0 0],0.9119731187820435
129,[0 0],0.9119731187820435
130,[0 0],0.9119731187820435
131,[0 0],0.9119731187820435
132,[0 0],0.9119731187820435
133,[0 0],0.9119731187820435
134,[0 0],0.9119731187820435
135,[0 0],0.9119731187820435
136,[0 0],0.9119731187820435
137,[0 0],0.9119731187820435
138,[0 0],0.9119731187820435
139,[0 0],0.9119731187820435
140,[0 0],0.9119731187820435
141,[0 0],0.9119731187820435
142,[0 0],0.9119731187820435
143,[0 0],0.9119731187820435
144,[0 0],0.9119731187820435
145,[0 0],0.9119731187820435
146,[0 0],0.9119731187820435
147,[0 0],0.9119731187820435
148,[0 0],0.9119731187820435
149,[0 0],0.9119731187820435
150,[0 0],0.9119731187820435
151,[0 0],0.9119731187820435
152,[0 0],0.9119731187820435
153,[0 0],0.9119731187820435
154,[0 0],0.9119731187820435
155,[0 0],0.9119731187820435
156,[0 0],0.9119731187820435
157,[0 0],0.9119731187820435
158,[0 0],0.9119731187820435
159,[0 0],0.9119731187820435
160,[0 0],0.9119731187820435
161,[0 0],0.9119731187820435
